Reporte de Citas 
Fecha Generada : ;2018-11-26
Nombre : ;Sin
Tipo Agente : ;Relationship Manager
Inicio : ;2018-01-01
Fin : ;2018-11-30

Detalle de Citas Personales
Semana;Fecha;Cliente;Tipo de Cita;Interes;Ramo;Compania;Producto;Tel. Movil;Direccion;Observaciones
1;2018-01-01 ;Ghost Piti;Entrega  ;_;Vida;NWL;Ultimate;'121;12122222;
2;2018-01-10 ;121 212;NP  ;;Vida;BMI Life;Term 100;'2121;2121;12121
2;2018-01-10 ;221 121;NP  ;;Ramos Generales;Liberty;Vehculos;'212;212;
2;2018-01-10 ;221 121;NP  ;;Vida;NWL;Index Select;'212;212;Vzvzv
2;2018-01-11 ;Reptiliano 21212;NP  ;No Interesado;Investments;IT;Platinum;'2112;2121;Dhjhd
2;2018-01-11 ;Reptiliano 21212;NP  ;;Ramos Generales;Chubb;RCP Clinicas;'2112;2121;Jdjzj
3;2018-01-18 ;232 323 848484;Cierre  ;_;Vida;BMI Life;Best Indexed;'2323;2332;
3;2018-01-18 ;323 323;NP  ;;Ramos Generales;Liberty;Vehculos;'323;323;3232
3;2018-01-18 ;232 323 848484;Entrega  ;_;Vida;BMI Life;Best Indexed;'2323;2332;
4;2018-01-23 ;Ghost Piti;NP  ;Interesado;Ramos Generales;QBE;Robo;'121;12122222;SSS....
4;2018-01-23 ;Ghost Piti;NP  ;Interesado;Vida;NWL;Ultimate;'121;12122222;wwew
4;2018-01-23 ;Ghost Piti;NP  ;Interesado;Vida;NWL;Index Select;'121;12122222;ssss
4;2018-01-23 ;232 323 848484;NP  ;;Vida;BMI Life;Best Indexed;'2323;2332;oio
4;2018-01-23 ;232 323 848484;NP  ;;Vida;NWL;Index Select;'2323;2332;Bxbx
4;2018-01-23 ;Ghost Piti;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'121;12122222;www
4;2018-01-23 ;Ghost Piti;NP  ;Interesado;Vida;NWL;Index Select;'121;12122222;sss
4;2018-01-23 ;Ghost Piti;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'121;12122222;iiii
4;2018-01-23 ;232 323 848484;NP  ;No Interesado;Vida;BMI Life;Horizon;'2323;2332;
4;2018-01-29 ;Hehshs Gahsg;NP  ;;Salud;PC;World Access;'411451;Bzhzhzh;
5;2018-02-03 ;lucho tenorrt;NP  ;No Interesado;Salud;BMIec Salud;Hospicare;'21402358;miraflores;
6;2018-02-06 ;Bxbxvx Hdvdvd;NP  ;;Vida;BMI Life;Term 100;'879798;Dvvd;Hshdgdgd
6;2018-02-06 ;Bxbxvx Hdvdvd;NP  ;;Vida;BMI Life;Best Indexed;'879798;Dvvd;V vxvx
6;2018-02-06 ;Bxbxvx Hdvdvd;NP  ;;Vida;BMI Life;Term 100;'879798;Dvvd;Vdvzvvzv
6;2018-02-06 ;Bxbxvx Hdvdvd;NP  ;;Investments;IT;Evolution;'879798;Dvvd;Xvvxvz
6;2018-02-07 ;212 212;NP  ;;Vida;BMI Life;Best Indexed;'2121;2121;1212
6;2018-02-07 ;323 323;NP  ;;Vida;BMI Life;Term 100;'323;323;323
6;2018-02-07 ;Jxjxh Hzhdhd;NP  ;;Salud;PC;Preferred Access;'97989;Hzhdh;Bzbzbxb
6;2018-02-08 ;Hshsh Hshsh;NP  ;;Vida;BMI Life;Term 100;'62727;Hshsh;Hshshs
6;2018-02-08 ;Hshsh Hshsh;NP  ;;Salud;BMI Health;Ideal;'62727;Hshsh;Hshshsj
6;2018-02-08 ;Hhfhd Hshsh;NP  ;;Vida;NWL;Ultimate;'737373;Bdhzhs;Bbzhshs
7;2018-02-12 ;Hdhz Hshz;NP  ;;Vida;NWL;Index Select;'3564;Ysgsg;Hshzvz
7;2018-02-12 ;Hdhd Vshd;NP  ;Interesado;Vida;NWL;Ultimate;'97979;Gdvzv;Hdhshs
7;2018-02-14 ;212 21;NP  ;;Ramos Generales;Chubb;RCP Mdico;'212;212;2121
7;2018-02-14 ;212 21;NP  ;;Vida;NWL;Index Select;'212;212;1212
7;2018-02-14 ;212 21;NP  ;Interesado;Vida;NWL;Ultimate;'212;212;1212
7;2018-02-15 ;121 12;NP  ;Interesado en el futuro;Vida;NWL;Nexterm;'21;212;323
